BALANCE,BALANCE_FREQUENCY,PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT
-1.148577285114539,0.818182,-0.5212149645860485,-5.199337582605575,0.166667,0.0,-1.5672403198518798,-1.3342228713184678,-0.988641963509007,0.0
1.0282731558020373,0.909091,-5.199337582605575,1.9311936632224591,0.0,0.25,0.7931097943177668,1.307333499154406,0.872012849423455,0.222222
0.8027145608920485,1.0,0.4143071133988107,-5.199337582605575,1.0,0.0,0.9112169202101055,-0.3076580884964276,0.4749462112762272,0.0
-0.06839083604993182,1.0,-0.7318958882074795,-5.199337582605575,0.083333,0.0,-1.1320133677366218,-0.23555530315898993,-0.16315908473201746,0.0
0.5573117162839045,1.0,0.7809302498492698,-5.199337582605575,0.666667,0.0,-0.5943528487989145,0.37774355923011255,1.51814070100863,0.0
-0.18216571968691073,1.0,2.1242863513454067,-5.199337582605575,1.0,0.0,1.8879734505582864,1.6690366656887077,-0.35104198988491764,1.0
0.5638665041509042,1.0,0.07893080698941284,-5.199337582605575,1.0,0.0,-0.40790738488474887,-0.23475194922769374,0.35671380933355523,0.0
0.07384687606825599,1.0,0.48525975435348223,-5.199337582605575,0.333333,0.0,0.7931097943177668,-0.22202555023905815,-3.3754048717570304e-05,0.0
-0.6662507634067123,0.545455,0.7517244851248494,-5.199337582605575,0.166667,0.0,1.5257845415037585,0.20774916200809534,-1.328339994384638,0.0
0.27864158347295276,1.0,0.5251137898014665,-5.199337582605575,1.0,0.0,-1.1320133677366218,0.14673934172322117,1.456863537006617,0.0
-0.18099519479583223,0.818182,0.860309909323657,-5.199337582605575,0.25,0.0,-0.4862168769308339,-0.19993522615624876,-0.8348109314329895,0.0
0.41226093749127,1.0,1.4579242364228089,-5.199337582605575,1.0,0.0,-0.08411313272695385,-0.3268320467839252,0.29899349072098114,0.25
0.005249445176228643,1.0,1.125953211909212,-5.199337582605575,0.75,0.0,0.9112169202101055,0.5253985121745106,-0.14635958964128962,0.083333
0.9016573112867374,1.0,-5.199337582605575,0.32015147747963457,0.0,0.083333,-0.08411313272695385,-0.08975221525884282,0.8114996846977621,0.0
1.8180088377609416,1.0,0.9135130698366003,1.0527007267313562,0.5,0.166667,1.012800257311913,0.6912261571259684,1.4357685906702387,0.0
0.6647781315769817,0.875,-5.199337582605575,1.1929359171624854,0.0,0.25,-0.08411313272695385,-0.7303148477634541,0.11492873956073273,0.0
